"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
1262958,"tt1262958","A Small Act",2010,"PG13",88,"Documentary","2010-01-01","Jennifer Arnold","Jennifer Arnold",NA,NA,6.9,237,NA,NA,NA,"2013-11-14 00:00:00",0
1262981,"tt1262981","World's Greatest Dad",2009,"R",99,"Comedy, Drama","2010-09-24","Bobcat Goldthwait","Bobcat Goldthwait","Robin Williams, Daryl Sabara, Morgan Murphy, Naomi Glick",69,7,22405,"English","USA",NA,"2014-04-04 18:17:26.947000000",0
1262990,"tt1262990","Paradise",2013,"PG-13",86,"Comedy, Drama","2013-10-18","Diablo Cody","Diablo Cody","Julianne Hough, Nick Offerman, Holly Hunter, Russell Brand",35,4.7,1445,"English","USA",NA,"2014-03-23 00:40:20.770000000",0
1263670,"tt1263670","Crazy Heart",2009,"R",112,"Drama, Music, Romance","2010-02-05","Scott Cooper","Scott Cooper, Thomas Cobb (novel)","Jeff Bridges, James Keane, Anna Felix, Paul Herman",83,7.3,51641,"English, Spanish","USA","Won 2 Oscars. Another 25 wins & 14 nominations.","2014-03-29 02:21:57.170000000",2
1264074,"tt1264074","The Wedding Song",2008,NA,100,"Drama, War","2008-12-17","Karin Albou","Karin Albou","Lizzie Brocheré, Olympe Borval, Najib Oudghiri, Simon Abkarian",65,6.7,464,"Arabic, French","France, Tunisia","1 nomination.","2014-03-30 02:43:08.580000000",0
1264894,"tt1264894","Chasing a Dream",2009,NA,120,"Drama, Family, Sport","2009-04-25","David Burton Morris","Bryce Zabel, Jackie Zabel","Treat Williams, Joanna Going, Andrew Lawrence, Jake McLaughlin",NA,6.5,116,"English","USA",NA,"2014-03-09 00:02:34.777000000",0
1264904,"tt1264904","Little Nicholas",2009,NA,91,"Comedy, Family","2009-09-30","Laurent Tirard","Laurent Tirard (screenplay), Grégoire Vigneron (screenplay), Laurent Tirard (dialogue), Grégoire Vigneron (dialogue), Alain Chabat (dialogue), René Goscinny (characters), Jean-Jacques Sempé (characters)","Maxime Godart, Valérie Lemercier, Kad Merad, Sandrine Kiberlain",NA,7.2,6442,"French","France, Belgium","3 nominations.","2014-03-14 00:08:28.863000000",0
1265990,"tt1265990","The Roommate",2011,"PG-13",91,"Drama, Horror, Thriller","2011-02-04","Christian E. Christiansen","Sonny Mallhi, Nick Bylsma, Chris Bylsma, Richard Robertson","Leighton Meester, Shirley Norris, Nick Bylsma, Minka Kelly",23,4.8,23351,"English","USA","7 nominations.","2014-03-30 01:55:26.547000000",0
1266029,"tt1266029","Nowhere Boy",2009,"R",98,"Biography, Drama, Music","2009-12-25","Sam Taylor-Johnson","Matt Greenhalgh (screenplay)","Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt",67,7.2,22601,"English","UK, Canada","Nominated for 3 BAFTA Film Awards. Another 5 wins & 18 nominations.","2014-03-29 00:00:17.543000000",0
1266093,"tt1266093","NoBody's Perfect",2008,NA,84,"Documentary","2008-09-11","Niko von Glasow","Andrew Emerson, Kiki von Glasow, Niko von Glasow","Fred Dove, Mat Fraser, Stefan Fricke, Sigrid Kwella",59,7.7,78,"English, German","Germany","3 wins & 1 nomination.","2014-02-19 00:59:20.557000000",0
1268158,"tt1268158","1 Day",2009,NA,102,"Drama",NA,"Penny Woolcock","Michèle Nuzzo, Penny Woolcock (screenplay)","Dylan Duffus, Orhan Whyte, Yohance Watson, Duncan Tobias",NA,4.3,399,"English","UK, Canada",NA,"2014-04-04 15:29:57.913000000",0
1268204,"tt1268204","Waste Land",2010,NA,99,"Documentary","2011-01-21","Lucy Walker, Karen Harley, João Jardim",NA,"Vik Muniz",78,7.9,6031,"English, Portuguese","Brazil, UK","Nominated for 1 Oscar. Another 21 wins & 7 nominations.","2014-03-21 00:08:24.517000000",0
1268799,"tt1268799","A Very Harold & Kumar 3D Christmas",2011,"R",90,"Comedy","2011-11-04","Todd Strauss-Schulson","Jon Hurwitz, Hayden Schlossberg, Jon Hurwitz (characters), Hayden Schlossberg (characters)","Patton Oswalt, Isabella Gielniak, Kal Penn, Austin Bickel",61,6.4,43906,"English","USA",NA,"2014-03-23 00:17:14.773000000",0
1268809,"tt1268809","Night of the Demons",2009,"R",93,"Horror","2011-05-26","Adam Gierasch","Jace Anderson (screenplay), Adam Gierasch (screenplay), Joe Augustyn (earlier screenplay)","Tatyana Kanavka, Michael Arata, Shannon Elizabeth, Linnea Quigley",NA,4.7,4896,"English, Russian","USA",NA,"2014-03-19 00:09:21.400000000",0
1268989,"tt1268989","The Unloved",2009,NA,106,"Drama","2009-05-17","Samantha Morton","Tony Grisoni (screenplay), Samantha Morton (screenplay)","Molly Windsor, Robert Carlyle, Susan Lynch, Craig Parkinson",NA,6.9,674,"English","UK","2 wins & 3 nominations.","2014-03-08 02:13:33.050000000",0
1269696,"tt1269696","La soga",2009,"R",102,"Crime, Drama","2010-08-13","Josh Crook","Manny Perez (script)","Manny Perez, Denise Quiñones, Juan Fernández, Paul Calderon",51,6.4,571,"Spanish, English","Dominican Republic",NA,"2014-03-28 04:04:27.630000000",0
1270262,"tt1270262","The Devil's Double",2011,"R",109,"Biography, Drama, Thriller","2011-09-08","Lee Tamahori","Michael Thomas, Latif Yahia (books)","Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast",52,7.1,44083,"English","Belgium, Netherlands","2 nominations.","2014-03-27 00:08:19.267000000",0
1270277,"tt1270277","Sympathy for Delicious",2010,"R",96,"Drama","2011-04-30","Mark Ruffalo","Christopher Thornton","Christopher Thornton, Mark Ruffalo, Juliette Lewis, Laura Linney",44,5.8,1300,"English","USA","1 win & 1 nomination.","2014-03-28 03:04:05.317000000",0
1270286,"tt1270286","To Save a Life",2009,"PG-13",120,"Drama","2010-11-11","Brian Baugh","Brian Baugh, Jim Britts","Randy Wayne, Deja Kreutzberg, Joshua Weigel, Steven Crowder",19,7.2,3443,"English","USA","2 nominations.","2014-03-21 00:29:14",0
1270494,"tt1270494","Zero Bridge",2008,NA,96,"Drama","2011-02-16","Tariq Tapa","Tariq Tapa (screenwriter)","Mohamad Imran Tapa, Taniya Khan, Ali Mohammad Dar, Fahad Banday",58,6.6,79,"Urdu, English","India, USA","4 nominations.","2014-03-08 02:28:30.143000000",0
1270761,"tt1270761","Don't Be Afraid of the Dark",2010,"R",99,"Fantasy, Horror, Thriller","2011-08-26","Troy Nixey","Guillermo del Toro (screenplay), Matthew Robbins (screenplay), Nigel McKeand","Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson",56,5.6,34131,"English","USA, Australia, Mexico","1 win & 1 nomination.","2014-03-27 00:09:22.920000000",0
1270798,"tt1270798","X-Men: First Class",2011,"PG-13",132,"Action, Adventure, Sci-Fi","2011-06-03","Matthew Vaughn","Ashley Miller (screenplay), Zack Stentz (screenplay), Jane Goldman (screenplay), Matthew Vaughn (screenplay), Sheldon Turner (story), Bryan Singer (story)","James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner",65,7.8,340539,"English, German, French, Spanish, Russian","USA, UK","6 wins & 17 nominations.","2014-03-25 01:22:03.033000000",0
1270835,"tt1270835","Hatchet II",2010,"R",85,"Comedy, Horror, Thriller","2010-11-01","Adam Green","Adam Green","Danielle Harris, Tony Todd, Kane Hodder, Parry Shen",49,5.4,6888,"English","USA",NA,"2014-03-21 00:31:38.487000000",0
1270842,"tt1270842","Norwegian Wood",2010,"Not Rated",133,"Drama, Romance","2010-12-11","Tran Anh Hung","Haruki Murakami (novel), Tran Anh Hung","Ken'ichi Matsuyama, Rinko Kikuchi, Kiko Mizuhara, Kengo Kôra",58,6.4,6601,"Japanese","Japan","4 wins & 7 nominations.","2014-03-13 00:13:49.030000000",0
1270850,"tt1270850","The Waiting City",2009,"R",100,"Drama, Romance","2010-07-15","Claire McCarthy","Claire McCarthy","Radha Mitchell, Joel Edgerton, Samrat Chakrabarti, Isabel Lucas",NA,6.2,547,"English","Australia","3 wins & 11 nominations.","2014-04-05 01:13:33.087000000",0
1272878,"tt1272878","2 Guns",2013,"R",109,"Action, Comedy, Crime","2013-08-02","Baltasar Kormákur","Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",55,6.8,87301,"English, Spanish","USA","1 win.","2014-03-05 00:11:23.100000000",0
1273222,"tt1273222","These Amazing Shadows",2011,"Not Rated",88,"Documentary","2011-01-22","Paul Mariano, Kurt Norton","Douglas Blush, Paul Mariano, Kurt Norton","Jeff Adachi, James H. Billington, Robin Blaetz, Brooks Boliek",NA,7.7,728,"English","USA","3 wins & 1 nomination.","2014-03-17 00:26:44.220000000",0
1273235,"tt1273235","A Serbian Film",2010,"NC-17",104,"Horror, Mystery, Thriller","2012-01-21","Srdjan Spasojevic","Aleksandar Radivojevic (screenplay), Srdjan Spasojevic (screenplay)","Srdjan Todorovic, Sergej Trifunovic, Jelena Gavrilovic, Slobodan Bestic",NA,5.4,24031,"Serbian, English, Swedish","Serbia","1 win & 1 nomination.","2014-03-22 00:49:02.207000000",0
1273241,"tt1273241","Brotherhood",2010,"R",76,"Crime, Drama, Thriller","2010-11-18","Will Canon","Will Canon, Doug Simon","Trevor Morgan, Jon Foster, Lou Taylor Pucci, Arlen Escarpeta",52,6.4,3036,"English","USA","3 wins & 1 nomination.","2014-03-13 00:12:59.767000000",0
1273678,"tt1273678","The Spy Next Door",2010,"PG",94,"Action, Comedy, Family","2010-01-15","Brian Levant","Jonathan Bernstein (screenplay), James Greer (screenplay), Gregory Poirier (screenplay), Jonathan Bernstein (story), James Greer (story)","Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley",27,5.4,22443,"English","USA","2 nominations.","2014-03-25 00:10:58.767000000",0
1274300,"tt1274300","The Tempest",2010,"PG-13",110,"Comedy, Drama, Fantasy","2011-02-11","Julie Taymor","Julie Taymor (screenplay), William Shakespeare (play)","Felicity Jones, Jude Akuwudike, Reeve Carney, David Strathairn",43,5.4,4763,"English","USA","Nominated for 1 Oscar. Another 2 nominations.","2014-03-30 04:09:06.373000000",0
1275724,"tt1275724","Milton Glaser: To Inform and Delight",2008,NA,73,"Documentary, Biography",NA,"Wendy Keys",NA,NA,NA,7.1,59,NA,NA,NA,"2013-11-30 00:00:00",0
1276104,"tt1276104","Looper",2012,"R",119,"Action, Crime, Sci-Fi","2012-09-28","Rian Johnson","Rian Johnson","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",84,7.5,303605,"English","USA, China","9 wins & 26 nominations.","2014-03-25 00:15:11.377000000",0
1276105,"tt1276105","Saint John of Las Vegas",2009,"R",85,"Comedy, Drama","2009-06-10","Hue Rhodes","Hue Rhodes","Steve Buscemi, Romany Malco, Sarah Silverman, Peter Dinklage",32,5.8,2216,"English","USA",NA,"2014-03-05 00:18:41.607000000",0
1276110,"tt1276110","Charlie & Boots",2009,NA,101,"Adventure, Comedy, Drama","2009-09-03","Dean Murphy","Stewart Faichney, Dean Murphy","Paul Hogan, Alan Powell, Shane Jacobson, Morgan Griffin",NA,6.6,812,"English","Australia","1 nomination.","2014-03-19 01:15:15.483000000",0
1276419,"tt1276419","A Royal Affair",2012,"R",137,"Drama, History, Romance","2012-03-29","Nikolaj Arcel","Bodil Steensen-Leth (novel), Rasmus Heisterberg (screenplay), Nikolaj Arcel (screenplay)","Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard, Trine Dyrholm",73,7.6,20450,"Danish, English, German, French","Denmark, Sweden, Czech Republic","Nominated for 1 Oscar. Another 18 wins & 27 nominations.","2014-04-02 01:22:01.707000000",0
1276962,"tt1276962","How to Make Money Selling Drugs",2012,NA,96,"Documentary","2013-12-26","Matthew Cooke","Matthew Cooke, Grant Jolly (story)","Woody Harrelson, Susan Sarandon, Eminem, 50 Cent",68,7.8,3744,"English","USA","2 wins.","2014-03-21 00:06:49.893000000",0
1276996,"tt1276996","The Windmill Movie",2008,NA,82,"Documentary","2009-06-17","Alexander Olch","Alexander Olch","Wallace Shawn, Bob Balaban, Susan Meiselas, Richard P. Rogers",NA,6.9,96,"English","USA",NA,"2014-03-06 00:36:09.673000000",0
1277728,"tt1277728","Mid-August Lunch",2008,"Not Rated",75,"Comedy, Drama","2008-09-05","Gianni Di Gregorio","Gianni Di Gregorio (story), Simone Riccardini (story), Gianni Di Gregorio (screenplay)","Valeria De Franciscis, Marina Cacciotti, Maria Calì, Grazia Cesarini Sforza",75,7,2587,"Italian","Italy","9 wins & 6 nominations.","2014-03-21 00:07:11.783000000",0
1277736,"tt1277736","Soul Power",2008,"PG-13",92,"Documentary, Music","2009-06-10","Jeffrey Kusama-Hinte",NA,"Muhammad Ali, James Brown, Celia Cruz, Manu Dibango",76,7,542,"English, French","USA",NA,"2014-03-12 00:12:24.417000000",0
1277737,"tt1277737","The Stoning of Soraya M.",2008,"R",114,"Drama","2009-10-09","Cyrus Nowrasteh","Betsy Giffen Nowrasteh (screenplay), Cyrus Nowrasteh (screenplay), Freidoune Sahebjam (book)","Shohreh Aghdashloo, Mozhan Marnò, Jim Caviezel, Navid Negahban",50,8,10050,"Persian, English","USA","5 wins & 5 nominations.","2014-03-17 00:01:34.487000000",0
1277936,"tt1277936","Cropsey",2009,"Not Rated",84,"Documentary, Crime, Horror","2009-04-25","Barbara Brancaccio, Joshua Zeman","Joshua Zeman","Joshua Zeman, Barbara Brancaccio, Bill Ellis, Dorothy D'Eletto",73,6.5,2716,"English","USA","1 win & 1 nomination.","2014-03-13 00:02:04.877000000",0
1277953,"tt1277953","Madagascar 3: Europe's Most Wanted",2012,"PG",93,"Animation, Adventure, Comedy","2012-06-08","Eric Darnell, Tom McGrath, Conrad Vernon","Eric Darnell (screenplay), Noah Baumbach (screenplay)","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",60,7,80229,"English","USA","1 win & 19 nominations.","2014-03-13 00:02:24.360000000",0
1278322,"tt1278322","Colin",2008,NA,97,"Action, Drama, Horror","2011-03-05","Marc Price","Marc Price","Alastair Kirton, Daisy Aitkens, Leanne Pammen, Kate Alderman",NA,4.9,1246,"English","UK","1 nomination.","2014-03-15 00:15:16.920000000",0
1278340,"tt1278340","Dead Snow",2009,"Not Rated",91,"Comedy, Horror","2009-01-09","Tommy Wirkola","Tommy Wirkola, Stig Frode Henriksen","Vegar Hoel, Stig Frode Henriksen, Charlotte Frogner, Lasse Valdal",61,6.4,41679,"Norwegian","Norway","1 win.","2014-03-26 00:52:41.610000000",0
1278379,"tt1278379","Jack Goes Boating",2010,"R",89,"Comedy, Drama, Romance","2010-12-29","Philip Seymour Hoffman","Robert Glaudini (screenplay), Robert Glaudini (play)","Philip Seymour Hoffman, John Ortiz, Richard Petrocelli, Thomas McCarthy",64,6.4,5809,"English","USA","1 win & 7 nominations.","2014-03-23 00:01:13.383000000",0
1278449,"tt1278449","Sound of Noise",2010,"R",102,"Comedy, Crime, Music","2012-03-09","Ola Simonsson, Johannes Stjärne Nilsson","Jim Birmant (story), Ola Simonsson (screenplay), Ola Simonsson (story), Johannes Stjärne Nilsson (screenplay), Johannes Stjärne Nilsson (story)","Bengt Nilsson, Sanna Persson, Magnus Börjeson, Marcus Boij",72,7.3,4900,"Swedish","Sweden, France","6 wins & 2 nominations.","2014-03-18 00:07:50.073000000",0
1279083,"tt1279083","Examined Life",2008,NA,87,"Documentary","2009-11-20","Astra Taylor","Astra Taylor","K. Anthony Appiah, Judith Butler, Michael Hardt, Martha Nussbaum",64,7,866,"English","Canada",NA,"2014-03-04 00:59:11.867000000",0
1279111,"tt1279111","Stealing America: Vote by Vote",2008,NA,90,"Documentary","2008-08-01","Dorothy Fadiman",NA,"Peter Coyote, Brad Friedman, Greg Palast, Paul Craig Roberts",NA,6.9,37,"English","USA","1 win.","2013-12-31 00:00:00",0
1279935,"tt1279935","Date Night",2010,"PG-13",88,"Comedy, Crime, Romance","2010-04-09","Shawn Levy","Josh Klausner","Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson",56,6.3,102062,"English, Hebrew","USA","4 wins & 7 nominations.","2014-03-23 00:03:09.227000000",0
1280011,"tt1280011","No Impact Man: The Documentary",2009,"Not Rated",93,"Documentary","2010-06-17","Laura Gabbert, Justin Schein",NA,"Colin Beavan, Michelle Conlin",66,6.7,1021,"English","USA",NA,"2014-03-25 00:43:24.157000000",0
1280015,"tt1280015","Smash His Camera",2010,"PG-13",87,"Documentary","2010-01-01","Leon Gast",NA,"Floyd Abrams, Gilbert M. 'Broncho Billy' Anderson, Joseph Basile, Harry Benson",68,7,491,"English","USA","1 win & 3 nominations.","2014-03-13 00:10:44.313000000",0
1281374,"tt1281374","Don McKay",2009,"R",87,"Drama, Mystery, Thriller","2009-04-24","Jake Goldberger","Jake Goldberger","Thomas Haden Church, Rachel Harker, Stephen Benson, M. Emmet Walsh",50,5.9,1912,"English","USA",NA,"2014-03-21 00:17:55.377000000",0
1281951,"tt1281951","Laila's Birthday",2008,"Unrated",71,"Drama","2009-04-09","Rashid Masharawi","Rashid Masharawi (screenplay)","Mohammad Bakri, Areen Omari, Nour Zoubi, Housam Abu Aishe",NA,7,275,"Arabic","Palestine, Tunisia, Netherlands","3 wins & 1 nomination.","2014-04-05 01:30:45.447000000",0
1282024,"tt1282024","Blessed",2009,NA,113,"Drama","2009-09-10","Ana Kokkinos","Andrew Bovell, Patricia Cornelius, Melissa Reeves, Christos Tsiolkas","Frances O'Connor, Miranda Otto, Deborra-Lee Furness, Victoria Haralabidou",NA,6.8,527,"English","Australia","3 wins & 7 nominations.","2014-03-08 01:32:28.370000000",0
1282041,"tt1282041","Anton Chekhov's The Duel",2010,NA,95,"Drama","2010-04-28","Dover Koshashvili","Mary Bing, Anton Chekhov (novel)","Andrew Scott, Fiona Glascott, Tobias Menzies, Niall Buggy",75,6.3,324,"English, Spanish","USA",NA,"2014-02-28 05:40:47.817000000",0
1282140,"tt1282140","Easy A",2010,"PG-13",92,"Comedy, Romance","2010-09-17","Will Gluck","Bert V. Royal","Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",72,7.2,182792,"English","USA","Nominated for 1 Golden Globe. Another 4 wins & 9 nominations.","2014-03-26 00:09:19.650000000",0
1282153,"tt1282153","The Strange Case of Angelica",2010,"Unrated",97,"Drama","2011-03-16","Manoel de Oliveira","Manoel de Oliveira (screenplay)","Pilar López de Ayala, Filipe Vargas, Carmen Santos, Ricardo Trêpa",75,6.2,991,"Portuguese","Portugal, Spain, France, Brazil",NA,"2014-03-24 00:23:18.423000000",0
1283976,"tt1283976","Earthwork",2009,"PG",93,"Drama","2011-05-20","Chris Ordal","Chris Ordal","John Hawkes, Bruce MacVittie, Chris Bachand, Scott Allegrucci",53,4.8,109,"English","USA","15 wins.","2013-12-31 00:00:00",0
1284028,"tt1284028","Love the Beast",2009,"R",92,"Documentary, Sport","2009-03-12","Eric Bana",NA,"Eric Bana, Jeremy Clarkson, Steve Coad, Grant Denyer",NA,7.5,1595,"English","Australia",NA,"2014-03-24 00:32:14.470000000",0
1284485,"tt1284485","Make-Out with Violence",2008,"Not Rated",105,"Comedy, Fantasy, Horror","2011-07-08","Deagol Brothers","Deagol Brothers, Cody DeVos, Eric Lehning","Brett Miller, Shellie Marie Shartzer, David Fuqua, Zach Duensing",NA,4.9,512,"English","USA","7 wins.","2014-03-30 04:58:26.550000000",0
1284526,"tt1284526","The Country Teacher",2008,"Unrated",103,"Drama","2009-03-27","Bohdan Sláma","Bohdan Sláma (screenplay)","Pavel Liska, Zuzana Bydzovská, Ladislav Sedivý, Marek Daniel",NA,7,972,"Czech","Czech Republic, France, Germany","6 wins & 8 nominations.","2014-03-04 02:08:14.747000000",0
1284575,"tt1284575","Bad Teacher",2011,"R",92,"Comedy","2011-06-24","Jake Kasdan","Gene Stupnitsky, Lee Eisenberg","Cameron Diaz, Lucy Punch, Jason Segel, Justin Timberlake",47,5.7,123366,"English","USA","5 wins & 3 nominations.","2014-03-22 00:11:07.420000000",0
1285016,"tt1285016","The Social Network",2010,"PG-13",120,"Biography, Drama","2010-10-01","David Fincher","Aaron Sorkin (screenplay), Ben Mezrich (book)","Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",95,7.8,335226,"English, French","USA","Won 3 Oscars. Another 102 wins & 86 nominations.","2014-03-29 00:05:06.280000000",3
1285144,"tt1285144","The Window",2008,"R",85,"Drama","2009-05-06","Carlos Sorin","Carlos Sorin (screenplay)","Antonio Larreta, María del Carmen Jiménez, Emilse Roldán, Roberto Rovira",NA,6.8,411,"Spanish","Argentina, Spain","1 win & 3 nominations.","2014-03-07 00:18:56.350000000",0
1285246,"tt1285246","Mademoiselle Chambon",2009,NA,101,"Drama, Romance","2010-05-28","Stéphane Brizé","Stéphane Brizé (scenario), Florence Vignon (scenario), Eric Holder (novel)","Vincent Lindon, Sandrine Kiberlain, Aure Atika, Jean-Marc Thibault",82,7,1465,"French","France","3 wins & 3 nominations.","2014-03-27 01:22:17.327000000",0
1285252,"tt1285252","Allah Made Me Funny: Live in Concert",2008,NA,83,"Documentary, Comedy, Family","2008-10-01","Andrea Kalin","Mohammed Amer (all comedy material written by), Preacher Moss (all comedy material written by), Azhar Usman (all comedy material written by)","Preacher Moss, Azhar Usman, Mohammed Amer",53,7.1,39,"English","USA",NA,"2014-03-22 00:07:08.607000000",0
1285309,"tt1285309","The Joneses",2009,"R",96,"Comedy, Drama","2010-04-23","Derrick Borte","Randy T. Dinzler (story), Derrick Borte","David Duchovny, Demi Moore, Amber Heard, Ben Hollingsworth",55,6.5,27293,"English","USA",NA,"2014-03-29 01:43:12.927000000",0
1286499,"tt1286499","At the Edge of the World",2008,"PG",90,"Documentary, Action, Adventure","2008-10-03","Dan Stone, Patrick Gambuti Jr.",NA,"Alex Cornelissen, Paul Watson",70,7,288,"English","USA","8 wins.","2014-03-08 01:57:24.353000000",0
1286537,"tt1286537","Food, Inc.",2008,"PG",94,"Documentary","2010-04-21","Robert Kenner","Robert Kenner, Elise Pearlstein, Kim Roberts","Eric Schlosser, Richard Lobb, Vince Edwards, Carole Morison",80,7.9,31772,"English","USA","Nominated for 1 Oscar. Another 6 wins & 9 nominations.","2014-03-13 00:04:42.627000000",0
1286798,"tt1286798","Unmistaken Child",2008,NA,102,"Documentary","2009-06-04","Nati Baratz","Nati Baratz","Tenzin Zopa",66,7.6,560,"English, Tibetan, Hindi, Nepali","Israel","9 wins & 2 nominations.","2014-03-08 01:25:02.327000000",0
1286800,"tt1286800","Harvard Beats Yale 29-29",2008,"PG",105,"Documentary, Biography, Sport","2008-11-19","Kevin Rafferty",NA,"Don Gillis, Bruce Freeman, Ted Skowronski, Ted Livingston",79,7.2,522,"English","USA",NA,"2014-03-19 01:04:12.013000000",0
1286821,"tt1286821","More Than a Game",2008,"PG",105,"Documentary, Sport","2009-10-16","Kristopher Belman","Kristopher Belman, Brad Hogan","LeBron James, Dru Joyce, Romeo Travis, Sian Cotton",59,7.7,3350,"English","USA","1 win & 3 nominations.","2014-03-17 00:11:42.097000000",0
1287468,"tt1287468","Cats & Dogs: The Revenge of Kitty Galore",2010,"PG",82,"Action, Comedy, Family","2010-07-30","Brad Peyton","Ron J. Friedman, Steve Bencich, John Requa (characters), Glenn Ficarra (characters)","James Marsden, Nick Nolte, Christina Applegate, Katt Williams",30,4.2,8019,"English","USA, Australia","3 nominations.","2014-03-05 00:39:47.590000000",0
1287845,"tt1287845","Kung Fu Panda: Secrets of the Furious Five",2008,NA,25,"Animation, Short, Action","2008-11-09","Raman Hui","Todd Berger (screenplay), Jed Diffenderfer (story), Paul McEvoy (screenplay)","Jack Black, Dustin Hoffman, Will Shadley, Eamon Pirruccello",NA,7.2,3982,"English","USA","4 wins & 4 nominations.","2014-03-06 00:17:41.743000000",0
1287878,"tt1287878","Poetry",2010,"Unrated",139,"Drama","2011-02-11","Chang-dong Lee","Chang-dong Lee","Jeong-hie Yun, Da-wit Lee, Hira Kim, Nae-sang Ahn",89,7.8,5311,"Korean","South Korea","19 wins & 10 nominations.","2014-03-23 00:04:30.853000000",0
1288376,"tt1288376","When We Leave",2010,"Unrated",119,"Drama","2011-01-28","Feo Aladag","Feo Aladag","Sibel Kekilli, Nizam Schiller, Derya Alabora, Settar Tanriögen",65,7.6,3344,"German, Turkish","Germany","30 wins & 10 nominations.","2014-03-03 00:29:48.567000000",0
1288411,"tt1288411","You Are Here",2010,NA,79,"Drama, Fantasy, Sci-Fi","2011-03-05","Daniel Cockburn","Daniel Cockburn (screenplay)","Tracy Wright, Shannon Beckner, Richard Clarkin, Jenni Burke",63,6,147,"English","Canada","1 win & 3 nominations.","2014-03-06 00:27:41.093000000",0
1288553,"tt1288553","The Beautiful Truth",2008,"Not Rated",92,"Documentary",NA,"Steve Kroschel","Steve Kroschel","Charlotte Gerson, Jay Kordich, Garrett Kroschel, Joyce Riley",NA,6.8,437,"English","USA",NA,"2014-03-19 00:09:05.993000000",0
1288558,"tt1288558","Evil Dead",2013,"R",91,"Horror","2013-04-05","Fede Alvarez","Fede Alvarez (screenplay), Rodo Sayagues (screenplay), Sam Raimi (based on the motion picture ""The Evil Dead"",  written by)","Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas",57,6.5,88827,"English","USA","1 win & 6 nominations.","2014-04-04 15:23:55.087000000",0
1288589,"tt1288589","Helen",2008,NA,79,"Drama","2009-05-01","Joe Lawlor, Christine Molloy","Joe Lawlor, Christine Molloy, Ben Slater (script editor)","Annie Townsend, Sandie Malia, Dennis Jobling, Sonia Saville",NA,5.8,321,"English","UK, Ireland","3 wins & 1 nomination.","2014-03-23 00:39:25.113000000",0
1289406,"tt1289406","Harry Brown",2009,"R",103,"Action, Crime, Drama","2009-11-11","Daniel Barber","Gary Young (screenplay)","Michael Caine, Emily Mortimer, Charlie Creed-Miles, David Bradley",55,7.3,61995,"English","UK","1 win & 3 nominations.","2014-03-17 01:15:10.723000000",0
1290082,"tt1290082","Lebanon, Pa.",2010,"PG-13",100,"Drama","2010-03-01","Ben Hickernell","Ben Hickernell","Josh Hopkins, Rachel Kitson, Ian Merrill Peakes, Samantha Mathis",47,6.3,464,"Arabic, English, Hebrew","USA","1 win.","2014-03-19 00:57:09.730000000",0
1291549,"tt1291549","Meet Monica Velour",2010,"R",98,"Comedy, Drama, Romance","2010-04-01","Keith Bearden","Keith Bearden","Kim Cattrall, Dustin Ingram, Brian Dennehy, Jee Young Han",51,5.9,1518,"English","USA",NA,"2014-03-13 00:13:23.843000000",0
1291584,"tt1291584","Warrior",2011,"PG-13",140,"Drama, Sport","2011-09-09","Gavin O'Connor","Gavin O'Connor (screenplay), Anthony Tambakis (screenplay), Cliff Dorfman (screenplay), Gavin O'Connor (story), Cliff Dorfman (story)","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison",71,8.3,220255,"English","USA","Nominated for 1 Oscar. Another 2 wins & 10 nominations.","2014-03-25 00:04:30.407000000",0
1291652,"tt1291652","Easy Money",2010,"R",124,"Action, Crime, Drama","2010-01-15","Daniel Espinosa","Daniel Espinosa (collaborating writer), Jens Lapidus (based on novel), Fredrik Wikström (collaborating writer), Maria Karlsson (screenplay), Hassan Loo Sattarvandi (collaborating writer)","Joel Kinnaman, Matias Varela, Dragomir Mrsic, Lisa Henni",75,6.7,9807,"Swedish, Serbo-Croatian, Spanish, English, German","Sweden, Germany, Denmark","4 wins.","2014-03-07 00:14:15.210000000",0
